Percent_below1CPM_M	Percent_below1CPM_F	Percent_below1CPM_MCI	Percent_below1CPM_C	Fail	Fail_Total
N_unmapped	0	0	0	0	0	0
N_multimapping	0	0	0	0	0	0
N_noFeature	0	0	0	0	0	0
N_ambiguous	0	0	0	0	0	0
ENSG00000223972.5	1	1	1	1	4	1
ENSG00000227232.5	1	1	1	1	4	1
ENSG00000278267.1	1	1	1	1	4	1
ENSG00000243485.5	1	1	1	1	4	1
ENSG00000284332.1	1	1	1	1	4	1
ENSG00000237613.2	1	1	1	1	4	1
ENSG00000268020.3	1	1	1	1	4	1
ENSG00000240361.2	1	1	1	1	4	1
ENSG00000186092.6	1	1	1	1	4	1
ENSG00000238009.6	1	1	1	1	4	1
ENSG00000239945.1	1	1	1	1	4	1
ENSG00000233750.3	0.853333333333333	0.911290322580645	0.89041095890411	0.888888888888889	4	1
ENSG00000268903.1	0.0133333333333333	0.0403225806451613	0.0410958904109589	0.0238095238095238	0	0
ENSG00000269981.1	0.12	0.104838709677419	0.123287671232877	0.103174603174603	0	0
ENSG00000239906.1	1	1	1	1	4	1
ENSG00000241860.7	0.973333333333333	0.991935483870968	0.972602739726027	0.992063492063492	4	1
ENSG00000222623.1	1	1	1	1	4	1
ENSG00000241599.1	1	1	1	1	4	1
ENSG00000279928.2	0.8	0.774193548387097	0.863013698630137	0.738095238095238	4	1
ENSG00000279457.4	0.866666666666667	0.862903225806452	0.917808219178082	0.833333333333333	4	1
ENSG00000273874.1	1	1	1	1	4	1
ENSG00000228463.10	1	1	1	1	4	1
ENSG00000286448.1	1	1	1	1	4	1
ENSG00000236679.2	1	1	1	1	4	1
ENSG00000236601.2	1	1	1	1	4	1
ENSG00000237094.12	0.24	0.225806451612903	0.246575342465753	0.222222222222222	0	0
ENSG00000269732.1	1	1	1	1	4	1
ENSG00000284733.1	1	1	1	1	4	1
ENSG00000233653.3	1	1	1	1	4	1
ENSG00000250575.1	1	1	1	1	4	1
ENSG00000278757.1	1	1	1	1	4	1
ENSG00000230021.10	1	1	1	1	4	1
ENSG00000235146.2	1	1	1	1	4	1
ENSG00000225972.1	0.773333333333333	0.685483870967742	0.712328767123288	0.722222222222222	4	1
ENSG00000225630.1	0	0.00806451612903226	0.0136986301369863	0	0	0
ENSG00000237973.1	0.0133333333333333	0.0161290322580645	0.0136986301369863	0.0158730158730159	0	0
ENSG00000278791.1	1	1	1	1	4	1
ENSG00000229344.1	0.986666666666667	0.983870967741935	0.972602739726027	0.992063492063492	4	1
ENSG00000240409.1	1	1	1	1	4	1
ENSG00000248527.1	0	0.00806451612903226	0.0136986301369863	0	0	0
ENSG00000198744.5	0.946666666666667	0.983870967741935	0.945205479452055	0.984126984126984	4	1
ENSG00000268663.1	1	1	1	1	4	1
ENSG00000284662.1	1	1	1	1	4	1
ENSG00000229376.3	1	1	1	1	4	1
ENSG00000228327.3	0.693333333333333	0.774193548387097	0.849315068493151	0.682539682539683	4	1
ENSG00000223181.1	1	1	1	1	4	1
ENSG00000229905.1	1	1	1	1	4	1
ENSG00000237491.10	0.64	0.620967741935484	0.671232876712329	0.603174603174603	4	1
ENSG00000285268.1	1	1	1	1	4	1
ENSG00000230092.7	1	1	1	1	4	1
ENSG00000177757.2	1	1	1	1	4	1
ENSG00000228794.9	0	0	0	0	0	0
ENSG00000225880.5	0.92	0.814516129032258	0.876712328767123	0.841269841269841	4	1
ENSG00000230368.2	1	1	1	1	4	1
ENSG00000234711.1	1	1	1	1	4	1
ENSG00000283040.1	1	1	1	1	4	1
ENSG00000272438.1	1	1	1	1	4	1
ENSG00000230699.2	1	1	1	1	4	1
ENSG00000241180.1	1	1	1	1	4	1
ENSG00000223764.2	1	0.991935483870968	0.986301369863014	1	4	1
ENSG00000187634.12	1	1	1	1	4	1
ENSG00000188976.11	0	0	0	0	0	0
ENSG00000187961.14	0	0	0	0	0	0
ENSG00000187583.10	0.893333333333333	0.879032258064516	0.931506849315068	0.857142857142857	4	1
ENSG00000187642.9	1	1	1	1	4	1
ENSG00000272512.1	1	1	1	1	4	1
ENSG00000188290.10	0.2	0.0887096774193548	0.136986301369863	0.126984126984127	0	0
ENSG00000187608.10	0	0	0	0	0	0
ENSG00000231702.2	1	1	1	1	4	1
ENSG00000224969.1	1	1	1	1	4	1
ENSG00000188157.15	0.68	0.766129032258065	0.794520547945205	0.698412698412698	4	1
ENSG00000242590.1	1	1	1	1	4	1
ENSG00000217801.10	1	0.983870967741935	1	0.984126984126984	4	1
ENSG00000273443.1	1	1	1	1	4	1
ENSG00000237330.3	1	1	1	1	4	1
ENSG00000131591.17	0	0	0	0	0	0
ENSG00000285812.1	1	1	1	1	4	1
ENSG00000223823.1	1	1	1	1	4	1
ENSG00000207730.3	1	1	1	1	4	1
ENSG00000207607.3	1	1	1	1	4	1
ENSG00000198976.1	1	1	1	1	4	1
ENSG00000272141.1	1	1	1	1	4	1
ENSG00000205231.1	1	1	1	1	4	1
ENSG00000162571.13	1	1	1	1	4	1
ENSG00000186891.14	0.0533333333333333	0.0241935483870968	0.0410958904109589	0.0317460317460317	0	0
ENSG00000186827.11	0	0	0	0	0	0
ENSG00000078808.17	0	0	0	0	0	0
ENSG00000176022.7	0	0	0	0	0	0
ENSG00000184163.3	1	1	1	1	4	1
ENSG00000260179.1	1	1	1	1	4	1
ENSG00000160087.20	0	0	0	0	0	0
ENSG00000230415.1	1	1	1	1	4	1
ENSG00000162572.20	0.68	0.693548387096774	0.753424657534247	0.650793650793651	4	1
ENSG00000131584.19	0	0	0	0	0	0
ENSG00000278073.1	1	1	1	1	4	1
ENSG00000169972.12	0	0	0	0	0	0
ENSG00000127054.20	0	0	0	0	0	0
ENSG00000283712.1	1	1	1	1	4	1
ENSG00000240731.1	1	1	1	1	4	1
ENSG00000224051.7	0	0	0	0	0	0
ENSG00000169962.5	0.786666666666667	0.75	0.808219178082192	0.738095238095238	4	1
ENSG00000107404.20	0	0	0	0	0	0
ENSG00000284372.1	1	1	1	1	4	1
ENSG00000162576.16	0.933333333333333	0.943548387096774	0.958904109589041	0.928571428571429	4	1
